id_ct,id_station,date_set,date_capt,date_dayno,time,name_order,name_com,name_sci,name_code,count_pic,count_ind,comments
40,CT4A,2014-09-21T00:00:00Z,2014-09-25T00:00:00Z,5,17:02:00,M,Agouti,Dasyprocta leporina,DASLEP,1,1,"Right side of body, large swelling on right forelegs"
40,CT4A,2014-09-21T00:00:00Z,2014-09-29T00:00:00Z,9,02:53:00,M,Ocelot,Leopardus pardalis,LEOPAR,1,1,Right side of body
40,CT4A,2014-09-21T00:00:00Z,2014-10-08T00:00:00Z,18,10:54:00,M,Agouti,Dasyprocta leporina,DASLEP,1,1,Right side of body
40,CT4A,2014-09-21T00:00:00Z,2014-10-23T00:00:00Z,33,10:28:00,M,Jaguar,Panthera onca,PANONC,1,1,Right side of body. Juvenile
40,CT4A,2014-09-21T00:00:00Z,2014-10-25T00:00:00Z,35,13:06:00,B,Grey-winged trumpeter,Psophia crepitans,PSOCRE,1,1,Head region
40,CT4A,2014-09-21T00:00:00Z,2014-10-26T00:00:00Z,36,21:29:00,M,Lowland Paca,Cuniculus paca,CUNPAC,1,1,Right-frontal region
40,CT4A,2014-09-21T00:00:00Z,2014-10-30T00:00:00Z,40,08:57:00,M,Collared Peccary,Pecari tajacu,PECTAJ,1,1,Left side of body
40,CT4A,2014-09-21T00:00:00Z,2014-11-02T00:00:00Z,43,03:28:00,M,Red Brocket deer,Mazama americana,MAZAME,1,1,"Right side of body, bruise on lower right leg"
43,CT4B,2014-09-21T00:00:00Z,2014-10-01T00:00:00Z,11,17:08:00,M,Puma,Puma concolor,PUMCON,1,1,appears to be a puma.. Review
43,CT4B,2014-09-21T00:00:00Z,2014-10-08T00:00:00Z,18,09:24:00,M,Collared Peccary,Pecari tajacu,PECTAJ,1,1,NA
43,CT4B,2014-09-21T00:00:00Z,2014-10-09T00:00:00Z,19,09:17:00,M,Agouti,Dasyprocta leporina,DASLEP,1,1,The animal is is walking passed the camera.
43,CT4B,2014-09-21T00:00:00Z,2014-10-12T00:00:00Z,22,15:30:00,M,Agouti,Dasyprocta leporina,DASLEP,1,1,NA
43,CT4B,2014-09-21T00:00:00Z,2014-11-01T00:00:00Z,42,13:13:00,M,Collared Peccary,Pecari tajacu,PECTAJ,1,1,Solitary individual walking passed the camera.
43,CT4B,2014-09-21T00:00:00Z,2014-11-02T00:00:00Z,43,08:18:00,B,Black Curassow,Crax alector,CRAALE,2,1,NA
